2025-03-10 16:18:27,862 - AVC - Arming Drone
2025-03-10 16:18:31,957 - AVC - UAV START: TAKING OFF
2025-03-10 16:20:31,194 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:32,195 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:32,195 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:33,197 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:33,198 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:34,199 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:34,199 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:35,201 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:35,202 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:36,203 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:36,203 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:37,206 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:37,206 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:38,209 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:38,209 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:39,210 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:39,211 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:40,213 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:40,214 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:41,216 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:41,216 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:42,218 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:42,218 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:43,220 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:43,221 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:44,223 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:44,223 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:45,225 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:45,226 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:46,227 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:46,228 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:47,230 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:47,231 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:48,233 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:48,233 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:48,396 - AVC - UAV END: LANDING
2025-03-10 16:20:49,238 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:49,239 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:50,241 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:50,242 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:51,243 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:51,243 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:52,245 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:52,246 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:53,248 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

